Date,nzoia
2003010100,0.605
2003010103,2.359
2003010106,3.375
2003010109,4.655
2003010112,6.218
2003010115,7.681
2003010118,8.794
2003010121,9.526
2003010200,10.018
2003010203,10.47
2003010206,11.023
2003010209,11.739
2003010212,12.624
2003010215,13.69
2003010218,14.94
2003010221,16.316
2003010300,18.871
2003010303,22.025
2003010306,25.34
2003010309,28.468
2003010312,31.231
2003010315,33.644
2003010318,35.84
2003010321,38.826
2003010400,45.636
2003010403,48.98
2003010406,49.712
2003010409,48.779
2003010412,46.814
2003010415,44.391
2003010418,41.936
2003010421,39.705
2003010500,37.813
2003010503,36.281
2003010506,35.074
2003010509,34.13
2003010512,33.381
2003010515,32.785
2003010518,32.29
2003010521,31.851
2003010600,33.268
2003010603,35.535
2003010606,37.165
2003010609,37.605
2003010612,37.048
2003010615,35.952
2003010618,34.727
2003010621,33.642
2003010700,32.814
2003010703,32.258
2003010706,31.943
2003010709,31.824
2003010712,31.854
2003010715,31.988
2003010718,32.192
2003010721,32.442
2003010800,32.718
2003010803,33.008
2003010806,33.304
2003010809,33.6
2003010812,33.89
2003010815,34.173
2003010818,34.444
2003010821,34.703
2003010900,34.948
2003010903,35.177
2003010906,35.39
2003010909,35.588
2003010912,35.769
2003010915,35.935
2003010918,36.086
2003010921,36.226
2003011000,36.355
2003011003,36.477
2003011006,36.594
2003011009,36.704
2003011012,36.808
2003011015,36.906
2003011018,36.997
2003011021,37.083
